created_at,pm25,pm10,co2,temp,hum,lat,long,dt_s,speed_km,aqi,
2025-08-11 17:37:45+01:00,6.35947,6.35947,318,33.42222,42.10358,53.055852,-7.2766966,16,0,26,
2025-08-11 17:38:01+01:00,6.31532,6.31832,401,34.17258,37.58087,53.0558107,-7.2766337,16,0.3,26,
2025-08-11 17:38:17+01:00,6.14667,6.14667,442,30.94148,42.276,53.0513526,-7.2741934,16,23.5,26,
2025-08-11 17:38:33+01:00,6.47838,6.47838,1021,26.35653,54.15192,53.056689,-7.262725,16,43.6,32,
2025-08-11 17:38:48+01:00,5.29873,5.29873,134,26.24437,55.00793,53.0591204,-7.2584788,15,17.6,22,
2025-08-11 17:39:04+01:00,6.06189,6.06189,560,26.45533,54.85535,53.0520109,-7.2481136,16,47.3,25,
2025-08-11 17:39:20+01:00,13.03891,19.26858,848,25.76372,55.02014,53.061445,-7.2255116,16,21.7,53,
2025-08-11 17:39:35+01:00,8.28014,10.06398,3891,25.06943,56.56281,53.061445,-7.2255116,15,71.5,55,
2025-08-11 17:39:51+01:00,8.71234,8.75103,38232,24.58877,57.29675,53.075714,-7.2035128,16,97.3,56,
2025-08-11T17:40:07+01:00,9.639,9.639,20850,24.23361,56.45905,53.086918,-7.1767403,16,98.1,40,
2025-08-11T17:41:11+01:00,10.0501,10.501,1080,25.4068,53.3654,53.104894,-7.139035,16,68.4,42,
2025-08-11T17:42:56+01:00,16.95926,16.95926,40000,25.65156,51.39618,53.1141913,-7.0851716,16,113.5,81,
2025-08-11T17:44:08+01:00,17.15735,17.15735,40000,25.60883,53.18909,53.1167329,-7.0476213,16,106.8,82,
2025-08-11T17:44:38+01:00,18.49437,18.49437,192,24.95461,53.66211,53.1364951,-7.0342091,16,126.5,64,
2025-08-11T17:45:09+01:00,16.83035,16.83035,2113,24.6582,56.37512,53.1486231,-6.9960425,31,0,81,
2025-08-11T17:45:25+01:00,17.12449,17.1245,2506,24.48997,55.28259,53.152337,-6.9695969,16,113.9,82,
2025-08-11T17:46:47+01:00,16.5926,16.5926,450,26.18829,50.1236,53.1540955,-6.9355604,24,37.4,60,
2025-08-11T17:48:07+01:00,12.85934,12.85934,283,28.28184,43.48602,53.1536532,-6.9192174,15,4.9,53,
2025-08-11T17:49:27+01:00,12.43936,12.43945,531,27.95605,45.50934,53.153719,-6.9179204,16,2.9,52,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
